marawi_q8,2017-08-24 5:05,1,4,- أنتي ِ‌أجمل‌مالقيتَ ، أنتي ِ كل شي بحياتي . https:// 9 00449024154710016/video/1 …,,@Sahoma_q8,,900464104162414594,https://twitter.com/marawi_q8/status/900464104162414594,ar
marawi_q8,2017-08-24 5:04,0,1,هلا هلا سهومتي خبور,,,,900463695863709698,https://twitter.com/marawi_q8/status/900463695863709698,ar
marawi_22,2017-08-24 5:03,0,0,اطلق الحُب الذي يمكث بداخلك، لكن إحرص على إعطائه الشخص المناسب.,,,,900463640494714880,https://twitter.com/marawi_22/status/900463640494714880,ar
Sahoma_q8,2017-08-24 5:03,4,5,صباح الحب مروه نورتي,"(['\xd9\x83\xd9\x8a\xd9\x81\xd8\xa7\xd9\x86', ' \xd8\xaf\xd9\x88\xd9\x84\xd8\xa9 \xd8\xa7\xd9\x84\xd9\x83\xd9\x88\xd9\x8a\xd8\xaa'], Location((29.3385681, 47.9618183, 0.0)))",,,900463406322507782,https://twitter.com/Sahoma_q8/status/900463406322507782,ar
Orthodoxe,2017-08-24 5:00,0,1,Philippines : des musulmans protègent des chrétiens attaqués par Daesh en fuyant Marawi (VIDEO) https:// 39223-philippines-musulmans-protegent-chretiens-attaques-par-daesh-et-fuyant-marawi.WZ3tBgktMaw.twitter …,"(['France ; Russie'], Location((47.7186512, -3.3140091, 0.0)))",,#,900462888665665536,https://twitter.com/Orthodoxe/status/900462888665665536,fr
Orthodoxe,2017-08-24 5:00,0,0,Philippines : Daesh exécute une dizaine de civils alors que l'armée assiège la ville de Marawi https:// 39020-philippines-daesh-execute-dizaine-civils.WZ3s9O4bzyc.twitter …,"(['France ; Russie'], Location((47.7186512, -3.3140091, 0.0)))",,#,900462821410000897,https://twitter.com/Orthodoxe/status/900462821410000897,fr
TonyBlackaz,2017-08-24 4:59,0,0,Plus dzokera ku Kenya kwawakabva mese nana Dhokota amai veku Joza na Bhobho ku Marawi . Ma foregner mukutinetsa.,"(['Zimbabwe'], Location((-18.4554963, 29.7468414, 0.0)))",,,900462622218342400,https://twitter.com/TonyBlackaz/status/900462622218342400,sn
marawi_22,2017-08-24 4:58,0,0,ذات يوم وعدتني بأن تحميني من كل شي يؤلمني واليوم اريدك ان تحميني من ألم شوقي.,,,,900462193904320512,https://twitter.com/marawi_22/status/900462193904320512,ar
marawi_q8,2017-08-24 4:57,5,5,وحدة اتصلت على البنك تستفسر عن رصيدها قال الموظف وش أخر عمليه قمتي بها قالت ولادة يقولون الموظف قدم استقالته وجاه فتاق من شدة الضحك,,,,900461960789192709,https://twitter.com/marawi_q8/status/900461960789192709,ar
marawi_22,2017-08-24 4:56,0,0,العجز الحُلو : اذا عجزت تُوصف شخص اغناك عن الكُل.,,,,900461799409147904,https://twitter.com/marawi_22/status/900461799409147904,ar
marawi_22,2017-08-24 4:55,0,0,مرات أحس صدري يتسع للحياة والكل..ومرات مايتسع لقلبّي حتى.,,,,900461625387474944,https://twitter.com/marawi_22/status/900461625387474944,ar
marawi_22,2017-08-24 4:55,1,0,مَدائن السّلام ﺇبتسامتك.,,,,900461454389907456,https://twitter.com/marawi_22/status/900461454389907456,ar
marawi_22,2017-08-24 4:55,0,0,عيّناك خمائل‌ وُرد.,,,,900461395321475072,https://twitter.com/marawi_22/status/900461395321475072,ar
marawi_q8,2017-08-24 4:53,1,3,ثني لما كنت بيبيه 1,,,,900461093159567361,https://twitter.com/marawi_q8/status/900461093159567361,ar
marawi_22,2017-08-24 4:53,0,0,دائمًا تواسي نفسك بـ عادي لكن إقناع النفس صعب تحس حتى روحك تضاربك كيف عادي وهو ابدًا مو عادي؟,,,,900460939098677248,https://twitter.com/marawi_22/status/900460939098677248,ar
irenemilleiro,2017-08-24 4:48,2,3,Cenando con amigo q vive en Filipinas y contaba q la batalla contra ISIS en Marawi puede ser comparable a Mosul,"(['Madrid-Europa'], Location((40.4382675, -3.6177152, 0.0)))",,,,,es
marawi_22,2017-08-24 4:45,0,0,أنا لا أكرهُك ابداً، لكن دعني أصَيغها لك بطريقتي، لُو كنت تحترق أمامَي وبيدي كأس ماء سأشَربه.,,,,900459124139405314,https://twitter.com/marawi_22/status/900459124139405314,ar
marawi_q8,2017-08-24 4:44,2,15,لا تظلم اللي تحبه وقدر ظرووفه لأن لولا التسامح عاشقك عفته مو شرط كل من تحبه لازم تشوفه انا أعشق إنسان لين الحين ماشفته.,,,,900458793695412227,https://twitter.com/marawi_q8/status/900458793695412227,ar
marawi_22,2017-08-24 4:42,0,0,سيذهب من أراد الذهاب وسيأتي آخرون وستتغيّر الحياة وستجد أن ما كان بالأمس يُثير الاهتمام هو اليوم لاشيء يُذكر.,,,,900458304140443648,https://twitter.com/marawi_22/status/900458304140443648,ar
marawi_22,2017-08-24 4:40,0,0,نومتك مثل غياب القمر لا غاب ماتفيد النجوم .,,,,900457622259736577,https://twitter.com/marawi_22/status/900457622259736577,ar
marawi_22,2017-08-24 4:39,0,0,أقدر اكون الشخص اللي تشكر ربك ألف مره عليه، وأقدر اكون الشخص اللي تلعن نفسك ألف مره لأنك عرفته، الامر راجع لتصرفاتك.,,,,900457508254486530,https://twitter.com/marawi_22/status/900457508254486530,ar
marawi_22,2017-08-24 4:39,0,0,ويبعث الله من يحتضنك في قلبه كوطن صغير يحتويك بدعاءه .,,,,900457392634302464,https://twitter.com/marawi_22/status/900457392634302464,ar
marawi_q8,2017-08-24 4:34,0,7,مـن لا يقدر هـيبة السن والشيب يطيح من عـين الرجال احترامـه أصغر عيال الذيب يكبر وهو ذيب وفـرخ النعامة طول عـمره نـعامه.!,,,,900456345220132865,https://twitter.com/marawi_q8/status/900456345220132865,ar
marawi_q8,2017-08-24 4:34,1,6,بدوية سألوها : وش تحبين من أنواع الشوكولاتة ` قالت:ذياك اللي داخله حطب كتكآت يا ناقة كتكات ياعدوة التطور ? ء,,,,900456112067141632,https://twitter.com/marawi_q8/status/900456112067141632,ar
marawi_q8,2017-08-24 4:33,0,0,تسلمي والله سموره الحلوه,,,,900456017607225344,https://twitter.com/marawi_q8/status/900456017607225344,ar
marawi_q8,2017-08-24 4:32,0,0,ههههه شفتي كيف الدلوعه تخليك تضخكي وترتاحي كثير,,,,900455639129915392,https://twitter.com/marawi_q8/status/900455639129915392,ar
jheffdeleon,2017-08-24 4:31,0,0,I added a video to a playlist http:// Bakbakan sa Marawi,,,,,,fil
martaden,2017-08-24 4:31,0,0,I am Happy - WATCH: Kobe Paras on the Marawi crisis,,,,,,en
marawi_q8,2017-08-24 4:30,0,1,ههههههههههه انه اصرق مشروعك,,,,900455184157036544,https://twitter.com/marawi_q8/status/900455184157036544,ar
marawi_q8,2017-08-24 4:29,1,0,انه كل يوم بخير ومرتاحه واضحك وحبوبه وطيوبه وامزح مع الكل,,,,900454911896424448,https://twitter.com/marawi_q8/status/900454911896424448,ar
marawi_q8,2017-08-24 4:27,0,0,شخبارك انتي وكيف صحتك,,,,900454417845170176,https://twitter.com/marawi_q8/status/900454417845170176,ar
marawi_22,2017-08-24 4:27,1,1,يومًا ما سأقول، لم يكن الأمر سهلاً لكنني فعلتها .,,,,900454351881351168,https://twitter.com/marawi_22/status/900454351881351168,ar
marawi_q8,2017-08-24 4:26,1,0,اهلين وسهلن ياسموره وانه شتقت لك,,,,900454159312408577,https://twitter.com/marawi_q8/status/900454159312408577,ar
marawi_22,2017-08-24 4:24,0,0,تعلم أن تعيش وحيدًا، أن تتوقع غياب أقرب الأشخاص لقلبك، أن لا تركض متلهفًا وراء كل من تحبّهم، أن تبكي دون أن يشعر بذلك أحدهم؛ تعلم لتعيش.,,,,900453669245681664,https://twitter.com/marawi_22/status/900453669245681664,ar
marawi_q8,2017-08-24 4:23,5,15,أنا مازلت معك مساء الخير يجمعنا في حالة إنتظار..,,,,900453514329174017,https://twitter.com/marawi_q8/status/900453514329174017,ar
marawi_22,2017-08-24 4:23,0,0,أوّد أن التقيك إشتقت أن أبتسم حُباً.,,,,900453465146744832,https://twitter.com/marawi_22/status/900453465146744832,ar
marawi_q8,2017-08-24 4:13,6,10,ㅤ ㅤ ㅤ تعال وخبّني من الدنيا بصدرك هناك ما تقدر الدنيا تضايقني,,,,900451022690291712,https://twitter.com/marawi_q8/status/900451022690291712,ar
marawi_22,2017-08-24 4:11,0,0,نفسيتي تقول اقطعي علاقتج بالكل واكسري فونج وانسدحي لين تموتين.,,,,900450341375889409,https://twitter.com/marawi_22/status/900450341375889409,ar
marawi_22,2017-08-24 4:10,0,0,This is my world. You are not welcome in my world.,,,,900450180700483584,https://twitter.com/marawi_22/status/900450180700483584,en
marawi_22,2017-08-24 4:09,0,0,من كثر م أحب اللون الأسود اسودت عيشتي.,,,,900450038954033154,https://twitter.com/marawi_22/status/900450038954033154,ar
marawi_q8,2017-08-24 3:57,1,0,تستاهلي,,,,900446894400393220,https://twitter.com/marawi_q8/status/900446894400393220,ar
marawi_q8,2017-08-24 3:57,0,0,دعم_خآص مروه_الدلوعه ƒσℓℓσw ┊ ┊ ┊ ┊ ࿐حسآب ┊ ┊ ┊ ࿐ ذوق ┊ ┊ ࿐رآئع ┊ ࿐آبدآع ࿐تميز,,@haneeen__24,# #,900446860279783425,https://twitter.com/marawi_q8/status/900446860279783425,ar
werf18werf,2017-08-24 3:56,0,0,يابعد عمري,,,,900446676741230593,https://twitter.com/werf18werf/status/900446676741230593,ar
InqNational,2017-08-24 3:56,0,0,ICYMI: MSU opens amid Marawi chaos http:// 9,"(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,,900446605081546752,https://twitter.com/InqNational/status/900446605081546752,en
marawi_q8,2017-08-24 3:55,1,0,دعم_خآص مروه_الدلوعه ƒσℓℓσw ┊ ┊ ┊ ┊ ࿐حسآب ┊ ┊ ┊ ࿐ ذوق ┊ ┊ ࿐رآئع ┊ ࿐آبدآع ࿐تميز C,,@werf18werf,# #,900446498894303232,https://twitter.com/marawi_q8/status/900446498894303232,ar
SMARFreedom,2017-08-24 3:41,0,0,Terrorists in Marawi City plan to strap improvised bombs to their captives . rorists-in-marawi-city-plan-to-strap-improvised-bombs-to-their-captives/ … terrorists & end.,,,#Pray #repent #teamJesus,900442830686105600,https://twitter.com/SMARFreedom/status/900442830686105600,en
disasters_ph,2017-08-24 3:37,0,0,TFBM member-agencies to fast track Marawi recovery - Philippine Information Agency http://,,,,900441802767048704,https://twitter.com/disasters_ph/status/900441802767048704,en
cnnphilippines,2017-08-24 3:29,3,3,Military retakes Marawi police headquarters from Maute http://,,,,900439913593622528,https://twitter.com/cnnphilippines/status/900439913593622528,en
egdsgn,2017-08-24 3:29,0,0,Bakbakan sa Marawi,"(['Davao City', ' Davao Region'], Location((7.22650725, 125.454887691, 0.0)))",,,,,fil
pinoyincali,2017-08-24 3:07,0,0,Oo tatlong buwan na. Asan na yung isasawsaw sa suka ni rody buang? Takot naman pala pumunta ng marawi . dami pa dahilan. https:// tus/900368631602622464 …,,,,900434428941357056,https://twitter.com/pinoyincali/status/900434428941357056,fil
NewSaintAndrew,2017-08-24 2:27,0,0,Back to school: students return to MSU main campus in Marawi http://,"(['Lapu-Lapu City'], Location((10.4218504, 123.2679822, 0.0)))",,,900424215815376896,https://twitter.com/NewSaintAndrew/status/900424215815376896,en
7334477ya,2017-08-24 2:27,0,0,يسعد مساك بنت محمد دائمن انت المتئلقه في تويتر مدار الاربعه والعشرين ساعه اهنيك من كل قلبي علا منشوراتك الاكثر من رئعه,"(['\xd8\xa7\xd9\x84\xd9\x8a\xd9\x85\xd9\x86 \xd8\xb5\xd9\x86\xd8\xb9\xd8\xa7\xd8\xa1'], Location((15.342101, 44.2005197, 0.0)))",,,900424193749262337,https://twitter.com/7334477ya/status/900424193749262337,ar
dwiz882,2017-08-24 2:12,0,0,Mga estudyante sa Mindanao State University sa Marawi City balik klase na - . estudyante-sa-mindanao-state-university-sa-marawi-city-balik-klase-na/ …,"(['Pasig City', ' Philippines'], Location((9.7771753, 125.4915723, 0.0)))",,,900420377112756225,https://twitter.com/dwiz882/status/900420377112756225,fil
asharfi77,2017-08-24 2:04,0,0,خير.,"(['Kingdom of Saudi Arabia'], Location((-6.8638235, 39.2551949, 0.0)))",,,900418582441545728,https://twitter.com/asharfi77/status/900418582441545728,ar
asharfi77,2017-08-24 2:04,0,0,نامي احسن اخر الشهر حامل !!واش بلاك .على الثقل,"(['Kingdom of Saudi Arabia'], Location((-6.8638235, 39.2551949, 0.0)))",,,900418536182620160,https://twitter.com/asharfi77/status/900418536182620160,ar
NST_Online,2017-08-24 2:00,6,1,(EXCLUSIVE) Latest intel from Marawi : IS leader in SEA,"(['Malaysia'], Location((2.3923759, 112.8471939, 0.0)))",,,,,en
marrdecastro,2017-08-24 1:52,0,0,punta na ko marawi ? Mag mmove on hahahahaha,"(['Mnl', 'Ph'], Location((14.5121499, 121.022046716, 0.0)))",,,900415568041328640,https://twitter.com/marrdecastro/status/900415568041328640,fil
dwiz882,2017-08-24 1:45,0,0,Marawi City Police Station nabawi ng tropa ng gobyerno sa kamay ng Maute-ISIS - . wi-city-police-station-nabawi-ng-tropa-ng-gobyerno-sa-kamay-ng-maute-isis/ …,"(['Pasig City', ' Philippines'], Location((9.7771753, 125.4915723, 0.0)))",,,900413683074977792,https://twitter.com/dwiz882/status/900413683074977792,fil
ColtliqEkajaya,2017-08-24 1:42,0,0,ISIS Serukan Pengikutnya di Indonesia Perang Suci di Marawi https://,"(['Malang', ' Jawa Timur'], Location((-7.9771206, 112.6340291, 0.0)))",,,900413020236591106,https://twitter.com/ColtliqEkajaya/status/900413020236591106,id
MNCkoranSINDO,2017-08-24 1:30,0,0,ISIS Serukan Pengikutnya di Indonesia Perang Suci di Marawi http://,"(['Jakarta', ' Indonesia'], Location((-6.1753942, 106.827183, 0.0)))",,,900409845479645184,https://twitter.com/MNCkoranSINDO/status/900409845479645184,id
Am11am511,2017-08-24 1:26,0,0,يمكن,,,,900408805510569984,https://twitter.com/Am11am511/status/900408805510569984,ar
YUlnham,2017-08-24 1:19,0,0,مسا انور _q8,,@Mm_80k @marawi @Om_Seham2 @Farah_f80 @luxu2016 @Klood9012,,900407058570280960,https://twitter.com/YUlnham/status/900407058570280960,ar
Superknicks,2017-08-24 1:15,0,0,Dun marawi dami basyo ng bala dun. Syang un bakal p nman din un.,,,,900406072288059392,https://twitter.com/Superknicks/status/900406072288059392,fil
adrnantn,2017-08-24 1:06,0,1,grabe pagka overshadowed ng mga balita sa marawi nai-focus agad kay Kian .... no offense pero crisis ang nangyayari sa marawi,,,,900403880445345792,https://twitter.com/adrnantn/status/900403880445345792,fil
jiyorjie,2017-08-24 1:03,0,3,GOODNIGHT MARAWI,,,,,,en
deVivfangirl,2017-08-24 1:01,0,0,Nako kailagn daw bala nang marawi hahaha,"(['Philipines'], Location((14.23424875, 121.092662381, 0.0)))",,,900402712839204870,https://twitter.com/deVivfangirl/status/900402712839204870,fil
OneMNLF,2017-08-24 0:59,0,0,Epekto ng paggamit ng shabu ng mga sundalo ni Du30 sa Marawi . http:// u,"(['Mindanao (MI)'], Location((30.335525, -89.405573, 0.0)))",,,900402003339333636,https://twitter.com/OneMNLF/status/900402003339333636,fil
manilainformer,2017-08-24 0:57,0,0,Gov't troops regain control of Marawi City police station https:// oops-regain-control-of-marawi-city-police-station/ …,"(['Manila'], Location((14.5906216, 120.9799696, 0.0)))",,,900401550778146816,https://twitter.com/manilainformer/status/900401550778146816,en
marifentastic,2017-08-24 0:48,0,0,bes anuena? ano konek ng ganun sa marawi ? hahaha wala na bogsa na pinagtatype ko,,,,900399344104259584,https://twitter.com/marifentastic/status/900399344104259584,fil
duterte_ism,2017-08-24 0:44,0,0,MARAWI LATEST NEWS AUGUST 24,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,,,en
wilfound,2017-08-24 0:38,1,4,Pray for MACAU,"(['Echague', ' Cagayan Valley'], Location((16.716802, 121.6832925, 0.0)))",,,,,en
PHLNewsOnline,2017-08-24 0:35,0,0,[GMA News] Gov't troops regain control of Marawi City police station https://,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,900396164025110528,https://twitter.com/PHLNewsOnline/status/900396164025110528,en
MiiLF3KFYRoN6k1,2017-08-24 0:35,0,0,قبحكن الله,,,,900396064532037633,https://twitter.com/MiiLF3KFYRoN6k1/status/900396064532037633,ar
Ss5ppUM9sWWBy5W,2017-08-24 0:34,0,0,مسا الخير,,,,900395906176090113,https://twitter.com/Ss5ppUM9sWWBy5W/status/900395906176090113,ar
PresPoliticsPh,2017-08-24 0:33,0,0,I liked a video http:// MARAWI UPDATE - AUGUST 24,"(['Davao Region'], Location((7.0645241, 125.6084143, 0.0)))",,,,,en
namhoehyun,2017-08-24 0:30,0,0,sarap itapon sa marawi ㅋㅋㅋ,,,,900394908732637184,https://twitter.com/namhoehyun/status/900394908732637184,fil
diedal,2017-08-24 0:30,0,0,e panu yan dba may pasuk na ung MSU MARAWI dun? tapos eto di pa tapos ung gyera sa MARAWI ? so sad!,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,9.00E+17,https://twitter.com/diedal/status/900394831783936000,fil
PresPoliticsPh,2017-08-24 0:28,0,0,MARAWI UPDATE - AUGUST 24,"(['Davao Region'], Location((7.0645241, 125.6084143, 0.0)))",,,,,en
PresPoliticsPh,2017-08-24 0:28,0,0,I added a video to a playlist http:// MARAWI UPDATE - AUGUST 24,"(['Davao Region'], Location((7.0645241, 125.6084143, 0.0)))",,,,,en
maxangelo987,2017-08-24 0:28,0,0,http:// 2 Gov't troops regain control of Marawi City police station http://,,,#gmanews,900394262935810049,https://twitter.com/maxangelo987/status/900394262935810049,en
delwosawyo,2017-08-24 0:26,0,0,Si mayor nasa marawi pa,"(['Marikina City'], Location((14.6331084, 121.0993541, 0.0)))",,,,,fil
Hirayaaaa,2017-08-24 0:25,0,1,"Tinitignan ng Impeng US ang Marawi bilang bagong Syria."" ""","(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,#StopTheKillings #EndStateFascism #LiftMartialLaw,900393489258631168,https://twitter.com/Hirayaaaa/status/900393489258631168,fil
riskmap_,2017-08-24 0:23,2,1,PHILIPPINES: Govt Troops Regain Control Of Marawi City Police Station http://,"(['Cardiff', ' Wales'], Location((51.4816546, -3.1791934, 0.0)))",,,900393020482240512,https://twitter.com/riskmap_/status/900393020482240512,en
msnph,2017-08-24 0:13,0,0,Gov't troops regain control of Marawi City police station . ional/govt-troops-regain-control-of-marawi-city-police-station/ar-AAqBf5m?ocid=ob-tw-enph-501 …,"(['Manila', ' Philippines'], Location((14.5906216, 120.9799696, 0.0)))",,,900390612670701569,https://twitter.com/msnph/status/900390612670701569,en
MCNM_Marketing,2017-08-24 0:13,0,0,Zamboanga City Boy Scouts send Marawi troops letters,"(['Las Vegas'], Location((36.1662859, -115.149225, 0.0)))",,,,,en
GoyenaBhebie,2017-08-24 0:03,0,0,Bitbitin n yan at dalhin s marawi https:// tatus/900378383602798593 …,,,#PushAwardsMayWards,900387994368184320,https://twitter.com/GoyenaBhebie/status/900387994368184320,fil
PIADesk,2017-08-24 0:00,2,1,Private and public organizations collaborate to continue Water Relief for http://,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,#Marawi #EmpoweringCommunities,900387158443253762,https://twitter.com/PIADesk/status/900387158443253762,en
